time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/clip_range
32768,58,562,-213.65088,301.0,1,,,,,,,,,,,
65536,124,528,-147.43579,301.0,2,0.008062904,10,0.9927411675453186,-5.655189041048288,0.001,47.5412483215332,101.49035546779632,-0.011026138038141653,-7.271766662597656e-05,0.14691162109375,0.2
98304,189,518,-31.663418,301.0,3,0.009372354,20,0.9910431504249573,-5.643052890896797,0.001,49.63763427734375,96.91076213121414,-0.016160526936437235,0.1287517547607422,0.1259521484375,0.2
131072,255,513,154.25543,301.0,4,0.00946123,30,0.9901130199432373,-5.637959422171116,0.001,66.5304183959961,125.83535988330841,-0.015426728234888287,0.2885270118713379,0.0989593505859375,0.2
163840,321,509,322.23135,301.0,5,0.0106370095,40,0.989902675151825,-5.635363235324621,0.001,967.3328247070312,1797.304584312439,-0.006386111767460534,0.055328428745269775,0.07540283203125,0.2
196608,393,500,450.4335,301.0,6,0.0056155333,50,0.9900619983673096,-5.636142142862082,0.001,1559.442626953125,4239.522064304352,-0.0025361173422425052,0.03875929117202759,0.0198699951171875,0.2
229376,460,498,544.247,301.0,7,0.0059148744,60,0.9896801114082336,-5.634949418902397,0.001,3457.422607421875,8541.3011384964,-0.002950263519960572,0.022471487522125244,0.042608642578125,0.2
262144,526,498,391.79858,301.0,8,0.003997936,70,0.9897173643112183,-5.63411241620779,0.001,4463.07373046875,10537.950120162965,-0.0020485659566475078,0.011510312557220459,0.042718505859375,0.2
294912,592,497,489.61868,301.0,9,0.0010316812,80,0.9898960590362549,-5.634651941806078,0.001,3759.72998046875,7109.888682556152,0.0003541583097103285,0.04619091749191284,9.1552734375e-06,0.2
327680,658,497,356.36664,301.0,10,0.00044060574,90,0.9900835752487183,-5.635411070287228,0.001,5179.33837890625,9700.126416397095,-0.0001030867234476318,0.14358675479888916,2.13623046875e-05,0.2
360448,724,497,447.3643,301.0,11,9.8383476e-05,100,0.9899328947067261,-5.635433199256658,0.001,3794.243896484375,6722.119295501709,-5.1069335677311754e-05,0.29911601543426514,6.103515625e-06,0.2
393216,790,497,381.22696,301.0,12,0.00024162089,110,0.9899119138717651,-5.635049152374267,0.001,3493.339111328125,8822.354356765747,-0.00011498370058689033,0.3091902732849121,0.0,0.2
425984,856,497,440.9869,301.0,13,0.0004889709,120,0.990046501159668,-5.635283181816339,0.001,1888.6759033203125,6894.839594650269,-6.140928962850012e-05,0.4068731665611267,0.0,0.2
458752,922,497,384.39392,301.0,14,0.0002154206,130,0.9899789094924927,-5.635476678609848,0.001,3700.163818359375,7897.487866020203,-0.0002992589839777793,0.44207334518432617,0.0,0.2
491520,989,496,385.23553,301.0,15,0.0012684723,140,0.9899438619613647,-5.634858436137438,0.001,3541.196044921875,6962.919296264648,-0.00036089646200707646,0.4893485903739929,3.662109375e-05,0.2
524288,1055,496,436.3658,301.0,16,0.00062939734,150,0.9902053475379944,-5.635435301810503,0.001,2388.590576171875,6878.49330997467,-0.0003371477921973565,0.5265967547893524,0.0,0.2
557056,1121,496,345.34622,301.0,17,0.0004966535,160,0.9900562763214111,-5.636332152038813,0.001,6481.6708984375,7681.49904460907,-0.0001244207471700065,0.5133615136146545,0.0,0.2
589824,1187,496,404.09503,301.0,18,0.0015980437,170,0.9885830283164978,-5.632323601096869,0.001,2436.07470703125,7858.396453094482,-0.0005037131661993044,0.5309732556343079,0.0001129150390625,0.2
622592,1254,496,379.4882,301.0,19,0.00076315564,180,0.9889458417892456,-5.631205169111491,0.001,3422.398193359375,6660.446893501282,-9.82075931460713e-05,0.5941270887851715,3.0517578125e-06,0.2
655360,1321,496,433.10434,301.0,20,0.003595903,190,0.9871694445610046,-5.6275000415742396,0.001,1732.1302490234375,6281.068127059936,-0.0006317267489976075,0.6320773959159851,0.00531005859375,0.2
688128,1387,495,349.99036,301.0,21,0.0032855333,200,0.9886680841445923,-5.626864664256573,0.001,6334.3037109375,8982.920669937133,-0.000706126927616424,0.5784658491611481,0.0038665771484375,0.2
720896,1454,495,415.7748,301.0,22,0.0014976647,210,0.9881862998008728,-5.628755440562964,0.001,3368.51953125,6635.6295686721805,-4.4778171013604154e-05,0.5955113768577576,8.23974609375e-05,0.2
753664,1522,494,351.5421,301.0,23,0.0040179575,220,0.9888753890991211,-5.629235174506903,0.001,2838.65234375,7322.099874114991,-0.0005958352972811554,0.6068818867206573,0.004840087890625,0.2
786432,1594,493,282.2842,301.0,24,0.002302085,230,0.9888672828674316,-5.629507035762072,0.001,2905.085205078125,7242.724355697632,-0.0002746873034084274,0.6646623611450195,0.0005950927734375,0.2
819200,1661,493,245.76291,301.0,25,0.0040935543,240,0.986621618270874,-5.628524492681026,0.001,3178.123779296875,6173.31555519104,-0.0008002947313798358,0.716486006975174,0.0107635498046875,0.2
851968,1729,492,327.17972,301.0,26,0.004163517,250,0.9853292107582092,-5.619760460406542,0.001,4275.9619140625,6678.621876907348,-0.0015227189195684333,0.7036743462085724,0.0247467041015625,0.2
884736,1796,492,395.69516,301.0,27,0.0027290788,260,0.9849890470504761,-5.616927862167358,0.001,2698.3505859375,7433.883484840393,-0.0003584609181416454,0.6844196617603302,0.001519775390625,0.2
917504,1863,492,441.25827,301.0,28,0.003969242,270,0.9887781143188477,-5.626291599869728,0.001,4490.09130859375,6556.553475379944,-0.0011496228480609716,0.7051084637641907,0.02064208984375,0.2
950272,1930,492,345.73337,301.0,29,0.0042195134,280,0.9909626245498657,-5.637371925264597,0.001,3755.66015625,8306.552849578857,-0.0011803318788224716,0.6594672501087189,0.020220947265625,0.2
983040,1998,491,432.7581,301.0,30,0.00469134,290,0.9899914264678955,-5.6377349235117435,0.001,1771.4254150390625,7021.662938690186,-0.0010224603209280758,0.6929054260253906,0.01632080078125,0.2
1015808,2065,491,389.08484,301.0,31,0.0030365747,300,0.9870008230209351,-5.630235981196165,0.001,3313.62158203125,6642.977573204041,-0.00031798128875379914,0.6514632701873779,0.0069580078125,0.2
