rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
615.8888888888889,84,1663.3848,32768,387,1,,,,,,,,,,,,,
642.5384615384615,167,2045.1757,65536,391,2,-1.9470670614391565,0.001425585620745551,0.2,2480,0.0001,0.009349039,0.0817596435546875,0.08425617218017578,0.3945139944553375,15102.9619140625,40558.59290771485,,
719.24,253,2789.1565,98304,388,3,-1.9462613500654697,0.00030285175671451725,0.2,2490,0.0001,0.0077399244,0.060235595703125,0.13137096166610718,0.39443352818489075,16439.115234375,42381.38371582031,,
742.38,338,3055.088,131072,387,4,-1.9454657673835754,0.0004940680635627359,0.2,2500,0.0001,0.005920821,0.0471649169921875,0.16821467876434326,0.3943602442741394,21881.28125,44442.70548706055,,
746.95,425,3271.166,163840,385,5,-1.9447627630084754,1.1492299381643534e-05,0.2,2510,0.0001,0.006724787,0.047491455078125,0.2333272099494934,0.3942875266075134,14095.3994140625,37815.621850585936,,
760.9,510,3513.0645,196608,384,6,-1.9441738743335009,-0.0004648947338864673,0.2,2520,0.0001,0.0071700895,0.0536163330078125,0.2368738055229187,0.39424553513526917,17627.6484375,41459.70407104492,,
791.7,598,4161.191,229376,383,7,-1.9436550833284856,-0.0003255781874031527,0.2,2530,0.0001,0.0058852914,0.038079833984375,0.27520453929901123,0.3941931128501892,15972.494140625,41443.27404785156,,
786.92,684,4279.1704,262144,382,8,-1.943058319017291,0.00054044447169872,0.2,2540,0.0001,0.006062121,0.037896728515625,0.3127169609069824,0.3941219449043274,14878.4716796875,42593.87027587891,,
839.86,770,4961.99,294912,382,9,-1.942369942739606,-0.001033347861812217,0.2,2550,0.0001,0.0062320493,0.03961181640625,0.4137110114097595,0.3940633237361908,14725.021484375,38814.386529541014,,
863.72,859,5190.795,327680,381,10,-1.9415466088801623,-0.00016702919492672663,0.2,2560,0.0001,0.0052588,0.032049560546875,0.39612877368927,0.3939628303050995,12656.021484375,37178.99956665039,,
905.31,947,5915.3174,360448,380,11,-1.9408436469733714,0.0003483959975710604,0.2,2570,0.0001,0.005002019,0.02127685546875,0.4218055009841919,0.3939262628555298,17291.58203125,40219.46086425781,,
927.65,1034,6351.967,393216,379,12,-1.9402859296649695,0.0003147766401525587,0.2,2580,0.0001,0.005586678,0.0334381103515625,0.45052850246429443,0.3938426971435547,14060.7353515625,37604.30000610351,,
934.29,1123,6678.4644,425984,379,13,-1.93974750302732,-0.0003182031749020098,0.2,2590,0.0001,0.0057519395,0.0398162841796875,0.4079616665840149,0.3938280940055847,15921.798828125,38050.6874206543,,
973.06,1213,7164.835,458752,378,14,-1.9394345980137586,0.0008269901285530068,0.2,2600,0.0001,0.0065113083,0.043914794921875,0.4537789821624756,0.39377540349960327,13297.927734375,37809.018383789065,,
992.65,1302,7399.2456,491520,377,15,-1.9391057889908552,0.0003916474772267975,0.2,2610,0.0001,0.004715775,0.0238922119140625,0.5110043585300446,0.39377930760383606,10843.5009765625,33616.44055786133,,
1045.33,1393,8212.557,524288,376,16,-1.9387203883379698,-0.00021257975313346834,0.2,2620,0.0001,0.0053993985,0.03585205078125,0.44141680002212524,0.3936900794506073,13320.48828125,36447.33720092774,,
1048.44,1484,8266.045,557056,375,17,-1.9379711024463178,0.0004509782822424313,0.2,2630,0.0001,0.005647867,0.03466796875,0.516996294260025,0.3936300277709961,12023.37109375,35223.73103027344,,
1050.38,1575,8416.916,589824,374,18,-1.9375105794519185,0.0002617218029627111,0.2,2640,0.0001,0.005688117,0.0362335205078125,0.520176351070404,0.3936021327972412,11960.8740234375,33625.926770019534,,
1055.82,1665,8422.157,622592,373,19,-1.9372865371406078,0.0003946414857637137,0.2,2650,0.0001,0.0055497186,0.03944091796875,0.44717055559158325,0.3935827314853668,13155.037109375,38673.04770507813,,
1068.1,1758,8647.409,655360,372,20,-1.9370585847645998,3.093431332672481e-05,0.2,2660,0.0001,0.0045547653,0.0275726318359375,0.45903927087783813,0.3935684561729431,13282.919921875,35527.965368652345,,
1047.88,1853,8696.9795,688128,371,21,-1.9366914570331573,7.366585487034172e-06,0.2,2670,0.0001,0.0061563784,0.0403656005859375,0.5003681480884552,0.3935079574584961,12272.478515625,33805.01817626953,,
1036.46,1946,8802.929,720896,370,22,-1.935883268713951,0.00010481122371857055,0.2,2680,0.0001,0.0055313474,0.03348388671875,0.5079909861087799,0.393403559923172,12364.078125,36301.61703491211,,
1031.82,2038,8851.153,753664,369,23,-1.9350217696279288,-3.386637399671599e-05,0.2,2690,0.0001,0.005248356,0.0319915771484375,0.5349652469158173,0.3933367133140564,15222.1171875,37360.91544799805,,
1027.45,2126,8730.486,786432,369,24,-1.9343429151922464,-0.00039134499129431786,0.2,2700,0.0001,0.0054777907,0.0386993408203125,0.47691619396209717,0.39327216148376465,13067.4560546875,36006.85650024414,,
977.18,2215,8083.884,819200,369,25,-1.9338177621364594,-0.00012289215628698004,0.2,2710,0.0001,0.00516126,0.0365234375,0.49933093786239624,0.3932430148124695,13298.15625,36495.342376708984,,
990.5,2307,8313.871,851968,369,26,-1.9334137976169585,-0.0011637207131570903,0.2,2720,0.0001,0.0057252594,0.042242431640625,0.47118091583251953,0.3931845724582672,13755.798828125,34637.310430908205,,
1020.06,2396,8635.117,884736,369,27,-1.9326321259140968,0.0009303085880674189,0.2,2730,0.0001,0.0054001617,0.03648681640625,0.4465041756629944,0.39309313893318176,12942.0576171875,39821.96449584961,,
1052.7,2486,8995.049,917504,368,28,-1.9318374175578357,-0.00016961800283752382,0.2,2740,0.0001,0.0046457555,0.0263397216796875,0.4365658760070801,0.393027663230896,12180.78515625,38079.71821289063,,
1107.17,2577,9676.704,950272,368,29,-1.9311700481921434,-4.6883207687642425e-05,0.2,2750,0.0001,0.0044887015,0.0258209228515625,0.4873061776161194,0.3929659128189087,16597.58203125,40875.789923095705,,
1126.83,2670,10147.07,983040,368,30,-1.9304271038621663,-0.00019337299672770314,0.2,2760,0.0001,0.0052541867,0.0372589111328125,0.5681086480617523,0.3928758502006531,13796.009765625,35498.36567993164,,
1151.83,2762,10494.486,1015808,367,31,-1.9297053944319487,-0.0007092017873219447,0.2,2770,0.0001,0.0048864065,0.0312957763671875,0.5589540004730225,0.3928312063217163,14111.2294921875,37082.67493286133,,
1184.1,2856,11017.764,1048576,367,32,-1.9291388135403396,-0.0003894959867466241,0.2,2780,0.0001,0.0048990366,0.0245391845703125,0.6066763401031494,0.39276570081710815,10228.712890625,35048.80216064453,,
1153.59,2947,10692.441,1081344,366,33,-1.9286466851830482,7.071908476063982e-05,0.2,2790,0.0001,0.005841309,0.0410736083984375,0.6718912422657013,0.3927460014820099,11105.732421875,32171.116333007812,,
1075.66,3037,9780.997,1114112,366,34,-1.9284539576619864,-0.0004648924666980747,0.2,2800,0.0001,0.005114005,0.030169677734375,0.5719806253910065,0.3927222490310669,12883.919921875,40704.75059814453,,
1022.47,3129,9098.059,1146880,366,35,-1.928025033324957,-0.0003177389735355973,0.2,2810,0.0001,0.0043570143,0.02523193359375,0.5827768445014954,0.39265844225883484,16493.48046875,37472.1533996582,,
1062.97,3222,9530.85,1179648,366,36,-1.927429548278451,-0.0003449772731983103,0.2,2820,0.0001,0.004369131,0.0253204345703125,0.6449532508850098,0.3926096260547638,15033.263671875,37889.5525390625,,
1040.33,3312,9169.101,1212416,366,37,-1.927227247133851,-0.00027046768591389994,0.2,2830,0.0001,0.0041814996,0.0211090087890625,0.6047354340553284,0.392625093460083,13960.455078125,35563.21930541992,,
1123.78,3404,10168.468,1245184,365,38,-1.927025867626071,-0.0003673026778415078,0.2,2840,0.0001,0.0048684143,0.0301116943359375,0.5657638609409332,0.39255669713020325,12775.0576171875,37884.76813354492,,
1116.97,3499,10208.126,1277952,365,39,-1.926452312618494,-0.0003194378165062517,0.2,2850,0.0001,0.0055649653,0.0346343994140625,0.5897301733493805,0.392518013715744,11587.9326171875,33906.574694824216,,
1103.19,3592,9868.644,1310720,364,40,-1.925974603742361,0.00023436620249412955,0.2,2860,0.0001,0.0060509443,0.0366455078125,0.45284444093704224,0.39245858788490295,15788.046875,97147.52243652343,,
1086.37,3684,9769.176,1343488,364,41,-1.925546458736062,-0.000632488852716051,0.2,2870,0.0001,0.004964562,0.0302734375,0.5725788474082947,0.3924419581890106,13746.0693359375,38114.02250366211,,
1077.53,3775,9642.972,1376256,364,42,-1.9254773765802384,-0.0002951974416646408,0.2,2880,0.0001,0.0042796293,0.0224578857421875,0.5366482436656952,0.3924500644207001,12176.673828125,37922.949871826175,,
1066.53,3867,8412.822,1409024,364,43,-1.9255076773464679,-2.6404202071717008e-05,0.2,2890,0.0001,0.0054273433,0.03795166015625,0.5240665078163147,0.3924480378627777,13797.1337890625,36493.86954956055,,
1116.28,3960,9062.322,1441792,364,44,-1.9253070343285799,0.0013874341704649851,0.2,2900,0.0001,0.0054214937,0.036236572265625,0.24121350049972534,0.39241263270378113,199441.796875,447404.2930664063,,
1115.27,4052,7056.368,1474560,363,45,-1.9249332007020712,0.000729425093595637,0.2,2910,0.0001,0.004531444,0.0282257080078125,0.7148589193820953,0.3923714756965637,10928.533203125,36139.02640991211,,
1122.1,4143,6733.175,1507328,363,46,-1.924752038344741,-0.0020014217647258193,0.2,2920,0.0001,0.004213434,0.0218414306640625,0.27839356660842896,0.3923833966255188,254372.90625,711023.9455078125,,
1135.83,4239,7028.4575,1540096,363,47,-1.9248410444706678,0.00017772866194718518,0.2,2930,0.0001,0.0038811378,0.0201568603515625,0.5189787447452545,0.3923826515674591,174581.125,476856.70407714846,,
1142.65,4332,7286.779,1572864,363,48,-1.9247126657515765,-0.0006219290859007742,0.2,2940,0.0001,0.005212517,0.02972412109375,0.704239159822464,0.3923470973968506,44891.875,132602.84127197266,,
,,,1600000,,,-1.924577245861292,-0.00020092372433282434,0.2,2950,0.0001,0.0040564854,0.022100830078125,0.6355909109115601,0.39236384630203247,100127.4375,314533.1849853516,646.69,1992.7037353515625
1122.54,4643,8316.319,1605632,345,49,,,,,,,,,,,,,
1087.59,4733,7927.9507,1638400,346,50,-1.924615630507469,0.0002149778010789305,0.2,2960,0.0001,0.005629857,0.03701171875,0.6224751174449921,0.3923490643501282,12128.935546875,40165.090911865234,,
1088.29,4825,8395.918,1671168,346,51,-1.924243226274848,-0.0005877987627172842,0.2,2970,0.0001,0.0050161565,0.0291412353515625,0.6664609909057617,0.39229223132133484,11296.435546875,31675.084313964842,,
1061.97,4916,8215.017,1703936,346,52,-1.924014837294817,-0.0014876154775265605,0.2,2980,0.0001,0.0061876187,0.0350372314453125,0.6561411023139954,0.39231404662132263,107645.3125,146526.3807495117,,
1070.73,5005,8828.028,1736704,346,53,-1.924198744446039,-0.0007208116792753571,0.2,2990,0.0001,0.0045656217,0.0219940185546875,0.4288247227668762,0.392325222492218,107551.8125,135829.57233886718,,
988.81,5097,8367.035,1769472,347,54,-1.9241647470742465,-0.0005544269246456679,0.2,3000,0.0001,0.0047605284,0.031121826171875,0.5461048781871796,0.39230576157569885,19044.8125,40047.70740966797,,
1014.04,5187,9002.227,1802240,347,55,-1.9239903185516596,-0.0009408862752025016,0.2,3010,0.0001,0.0058439905,0.0299224853515625,0.7193374931812286,0.3922899663448334,16488.486328125,42468.509777832034,,
1026.07,5282,9160.812,1835008,347,56,-1.9237814161926508,0.00015807383897481486,0.2,3020,0.0001,0.0055949856,0.0352935791015625,0.7329123914241791,0.39227408170700073,20169.6171875,44344.298828125,,
1040.55,5377,9004.3545,1867776,347,57,-1.9236222811043262,-0.0005617775197606534,0.2,3030,0.0001,0.0046973783,0.026434326171875,0.7545687556266785,0.3922569453716278,13865.001953125,38167.33858032226,,
1107.66,5471,9975.579,1900544,347,58,-1.9234325639903544,0.0007193137946160278,0.2,3040,0.0001,0.005505168,0.036602783203125,0.5114232897758484,0.39224374294281006,42133.37109375,100994.36623535157,,
1108.65,5564,9904.212,1933312,347,59,-1.923287384212017,-0.0003644152522610966,0.2,3050,0.0001,0.0049341666,0.027252197265625,0.7101730108261108,0.3922281861305237,14791.7548828125,34717.77531738281,,
1017.68,5654,9400.249,1966080,347,60,-1.923031660541892,-0.00047528871800750494,0.2,3060,0.0001,0.0046289987,0.02564697265625,0.6545602083206177,0.39219117164611816,13137.5341796875,39095.17280883789,,
979.77,5746,8908.901,1998848,347,61,-1.9226858336478472,-3.431633704167325e-05,0.2,3070,0.0001,0.0049169157,0.0283843994140625,0.592854768037796,0.3921627402305603,13581.14453125,40525.66590576172,,
953.8,5839,8453.817,2031616,347,62,-1.9224199749529363,0.0004576230909151491,0.2,3080,0.0001,0.004364076,0.0254638671875,0.3684765100479126,0.39213812351226807,80351.0546875,137902.99587402344,,
